"id_paper","author","main_author"
446,"Vladimir V. Kalashnikov",FALSE
447,"Peter Gritzmann",TRUE
447,"Victor Klee",FALSE
448,"Nguyen V. Thoai",TRUE
449,"Klaus Jansen",TRUE
450,"Carsten Damm",TRUE
450,"Jirí Sgall",FALSE
450,"Stasys Jukna",FALSE
451,"Subhendu Bikash Hazra",TRUE
452,"Dieter Baum",TRUE
453,"Klaus Jansen",TRUE
454,"Nguyen V. Thoai",TRUE
454,"Reiner Horst",FALSE
455,"Carsten Damm",TRUE
456,"Dieter Baum",TRUE
456,"Gurami Tsitsiashvili",FALSE
456,"M. A. Osipova",FALSE
456,"N. V. Koliev",FALSE
457,"Martin Gugat",TRUE
458,"Lothar Breuer",TRUE
459,"Oleg V. Khamisov",TRUE
460,"Dieter Baum",TRUE
461,"Christoph Meinel",TRUE
461,"Jochen Bern",FALSE
463,"Christian Fecht",TRUE
463,"Helmut Seidl",FALSE
464,"Carsten Damm",TRUE
464,"Markus Holzer 0001",FALSE
465,"Harald Luschgy",TRUE
465,"Siegfried Graf 0001",FALSE
466,"Christoph Meinel",TRUE
466,"Jordan Gergov",FALSE
467,"Dieter Baum",TRUE
468,"Lothar Breuer",TRUE
469,"Alexander Kaplan",TRUE
469,"Rainer Tichatschke",FALSE
470,"Martin Mundhenk",TRUE
471,"Carsten Damm",TRUE
471,"Stasys Jukna",FALSE
472,"Helmut Seidl",TRUE
472,"Markus Müller-Olm",FALSE
472,"Varmo Vene",FALSE
